Park Name,OpenStreetMap,Google Maps,Notes,Google Busy Times Successful?
ABORN PARK,No,No,,
ALMADEN LAKE PARK,Yes,Yes,,
ALMADEN MEADOWS PARK,Yes,Yes,,
ALMADEN WINERY PARK,Yes,Yes,,
ALUM ROCK PARK,Yes,Yes,,"Yes, no busy times"
ALVISO PARK,Yes,Yes,,
ARENA GREEN EAST,Yes,Yes,,
ARENA GREEN WEST,,,,
AVENIDA ESPANA PARK,No,Yes,,
BACKESTO PARK,,,,
BASKING RIDGE PARK,,,,
BELLEVUE PARK,,,,
BERNAL PARK,,,,
BERRYESSA CREEK PARK,Yes,Yes,,
BESTOR ART PARK,,,,
BIEBRACH PARK,,,,
BOGGINI PARK,,,,
BONITA PARK,,,,
BRAMHALL PARK,,,,
BRANHAM PARK,,,,
BRENDA LOPEZ PLAZA,,,,
BRIGADOON PARK,,,,
BROOKTREE PARK,,,,
BUENA VISTA PARK,,,,
BUTCHER PARK,,,,
CAHALAN PARK,,,,
CAHILL PARK,,,,
CALABAZAS (BMX) BIKE PARK,,,,
CALABAZAS PARK,,,,
CALERO PARK,,,,
CAMDEN PARK,No,No,,
CANOAS PARK,,,,
CANYON CREEK PARK,,,,
CAPITOL PARK,,,,
CAROLYN NORRIS PARK,,,,
CARRABELLE PARK,,,,
CATALDI PARK,,,,
CATHEDRAL OAKS PARK,CATHEDRAL OAKS PARK,Incomplete,,
CENTURY OAKS PARK,,,,
CHARLOTTE COMMON PARK,,,,
CHILDREN OF THE RAINBOW PARK,,,,
CHRIS HOTTS PARK,,,,
CHYNOWETH PARK,,,,
CIMARRON PARK,,,,
COLUMBUS PARK 1,,,,
COMANCHE PARK,,,,
COMMODORE PARK,,,,
CONFLUENCE POINT,,,,
COY AVENUE PARK,,,,
DANNA ROCK PARK,,,,
DE ANZA PARK,,,,
DEL MONTE PARK,,,,
DOERR PARK,,,,
DOVE HILL PARK,,,,
EDENVALE GARDEN PARK,,,,
EMMA PRUSCH FARM PARK,,,,
EVERGREEN PARK,,,,
FAIR SWIM CENTER AND TOT LOT,,,,
FALLS CREEK LANDS,,,,
FALLS CREEK PARK,,,,
FERNISH PARK,,,,
FLEMING PARK,,,,
FLICKINGER PARK,,,,
FOOTHILL PARK,Yes,Yes,,
FORESTDALE TOT LOT,,,,
FOWLER CREEK PARK,,,,
FRANK M. SANTANA PARK,,,,
FULLER PARK,,,,
GEORGE PAGE PARK,,,,
GLEASON AVENUE MINI PARK,,,,
GLENVIEW PARK,,,,
GRAN PARADISO PARK,No,Yes,,
GREAT OAKS PARK,,,,
GREGORY PLAZA TOT LOT,,,,
GREYSTONE PARK,,,,
GROESBECK HILL PARK,,,,
GUADALUPE GARDENS AND HERITAGE ROSE GARDEN,,,,
GUADALUPE OAK GROVE PARK,,,,
GUADALUPE RIVER PARK,,,,
GUADALUPE RIVER PARK,,,,
GUADALUPE RIVER PARK,,,,
GULLO PARK,,,,
HACIENDA PARK,,,,
HAPPY HOLLOW PARK AND ZOO,,,,
